Date,Accts Payable,Rate of Change (%)
2021-01-17,11513.66304347826,0.009535894617984653
2021-01-18,11514.760869565218,0.00953498537183961
2021-01-19,11515.858695652174,0.009534076299044791
2021-01-20,11516.95652173913,0.00953316739957799
2021-01-21,11518.054347826086,0.009532258673417005
2021-01-22,11519.152173913044,0.009531350120473014
2021-01-23,11520.25,0.009530441740679407
2021-01-24,11521.347826086956,0.009529533534036183
2021-01-25,11522.445652173914,0.009528625500498933
2021-01-26,11523.54347826087,0.009527717639956634
2021-01-27,11524.641304347826,0.009526809952409288
2021-01-28,11525.739130434782,0.009525902437768075
2021-01-29,11526.83695652174,0.0095249950960552
2021-01-30,11527.934782608696,0.009524087927137437
2021-01-31,11529.032608695652,0.009523180931014785
2021-02-01,11530.130434782608,0.009522274107620632
2021-02-02,11531.228260869566,0.009521367456910568
2021-02-03,11532.326086956522,0.009520460978840184
2021-02-04,11533.423913043478,0.009519554673342867
2021-02-05,11534.521739130434,0.009518648540396413
2021-02-06,11535.619565217392,0.009517742579934207
2021-02-07,11536.717391304348,0.009516836791889638
2021-02-08,11537.815217391304,0.009515931176262704
2021-02-09,11538.91304347826,0.009515025732964588
2021-02-10,11540.010869565218,0.009514120461973086
2021-02-11,11541.108695652174,0.009513215363177174
2021-02-12,11542.20652173913,0.009512310436599059
2021-02-13,11543.304347826086,0.009511405682172125
2021-02-14,11544.402173913044,0.00951050109982976
2021-02-15,11545.5,0.009509596689527555
2021-02-16,11546.597826086956,0.009508692451221101
2021-02-17,11547.695652173914,0.009507788384888194
2021-02-18,11548.79347826087,0.00950688449041781
2021-02-19,11549.891304347826,0.009505980767787747
2021-02-20,11550.989130434782,0.009505077216975799
2021-02-21,11552.08695652174,0.009504173837937557
2021-02-22,11553.184782608696,0.009503270630562
2021-02-23,11554.282608695652,0.009502367594849126
2021-02-24,11555.380434782608,0.009501464730754527
2021-02-25,11556.478260869566,0.00950056203821159
2021-02-26,11557.576086956522,0.009499659517153702
2021-02-27,11558.673913043478,0.009498757167558658
2021-02-28,11559.771739130434,0.009497854989382049
2021-03-01,11560.869565217392,0.009496952982579465
2021-03-02,11561.967391304348,0.009496051147039886
2021-03-03,11563.065217391304,0.009495149482785514
2021-03-04,11564.16304347826,0.009494247989749738
2021-03-05,11565.260869565218,0.009493346667888147
2021-03-06,11566.358695652174,0.009492445517111925
2021-03-07,11567.45652173913,0.00949154453742107
2021-03-08,11568.554347826086,0.009490643728748971
2021-03-09,11569.652173913044,0.009489743091051217
2021-03-10,11570.75,0.009488842624261196
2021-03-11,11571.847826086956,0.009487942328334498
2021-03-12,11572.945652173914,0.009487042203248919
2021-03-13,11574.04347826087,0.009486142248915641
2021-03-14,11575.141304347826,0.009485242465334665
2021-03-15,11576.239130434782,0.009484342852417171
2021-03-16,11577.33695652174,0.009483443410140957
2021-03-17,11578.434782608696,0.009482544138417204
2021-03-18,11579.532608695652,0.009481645037245912
2021-03-19,11580.630434782608,0.009480746106560467
2021-03-20,11581.728260869566,0.009479847346316461
2021-03-21,11582.826086956522,0.009478948756425076
2021-03-22,11583.923913043478,0.009478050336886312
2021-03-23,11585.021739130434,0.009477152087633556
2021-03-24,11586.119565217392,0.009476254008644602
2021-03-25,11587.217391304348,0.009475356099830634
2021-03-26,11588.315217391304,0.009474458361169447
2021-03-27,11589.41304347826,0.009473560792594427
2021-03-28,11590.510869565218,0.00947266339408337
2021-03-29,11591.608695652174,0.009471766165525253
2021-03-30,11592.70652173913,0.009470869106964486
2021-03-31,11593.804347826086,0.009469972218290046
2021-04-01,11594.902173913044,0.009469075499479729
2021-04-02,11596.0,0.009468178950444717
2021-04-03,11611.747252747253,0.13579900609910212
2021-04-04,11627.494505494506,0.13561484249089428
2021-04-05,11643.241758241758,0.13543117771255275
2021-04-06,11658.989010989011,0.13524800974011875
2021-04-07,11674.736263736264,0.13506533656058028
2021-04-08,11690.483516483517,0.13488315617173896
2021-04-09,11706.23076923077,0.13470146658218773
2021-04-10,11721.978021978022,0.13452026581128873
2021-04-11,11737.725274725275,0.1343395518889956
