Date,Shares Outstanding,Rate of Change (%)
2020-11-01,4298.907216494846,0.0011990723975952022
2020-11-02,4298.958762886598,0.0011990580200293977
2020-11-03,4299.01030927835,0.0011990436427744555
2020-11-04,4299.061855670103,0.0011990292659191937
2020-11-05,4299.113402061856,0.0011990148893747943
2020-11-06,4299.164948453608,0.0011990005131856663
2020-11-07,4299.216494845361,0.0011989861373296051
2020-11-08,4299.268041237114,0.0011989717618288154
2020-11-09,4299.319587628866,0.0011989573866610925
2020-11-10,4299.371134020618,0.0011989430118264366
2020-11-11,4299.422680412371,0.0011989286373692565
2020-11-12,4299.474226804124,0.0011989142632451433
2020-11-13,4299.525773195876,0.001198899889454097
2020-11-14,4299.577319587629,0.001198885516018322
2020-11-15,4299.628865979382,0.0011988711429378185
2020-11-16,4299.680412371134,0.0011988567701681774
2020-11-17,4299.731958762886,0.001198842397776012
2020-11-18,4299.783505154639,0.0011988280257169137
2020-11-19,4299.835051546392,0.0011988136540130867
2020-11-20,4299.886597938144,0.0011987992826423266
2020-11-21,4299.938144329897,0.0011987849116268379
2020-11-22,4299.98969072165,0.001198770540944416
2020-11-23,4300.041237113402,0.0011987561705728567
2020-11-24,4300.092783505154,0.0011987418006009776
2020-11-25,4300.144329896907,0.0011987274309621654
2020-11-26,4300.19587628866,0.0011987130616564201
2020-11-27,4300.2474226804125,0.0011986986927059462
2020-11-28,4300.298969072165,0.0011986843240885392
2020-11-29,4300.350515463918,0.0011986699558264036
2020-11-30,4300.40206185567,0.0011986555878751304
2020-12-01,4300.453608247422,0.0011986412203235375
2020-12-02,4300.505154639175,0.001198626853082807
2020-12-03,4300.556701030928,0.001198612486197348
2020-12-04,4300.6082474226805,0.0011985981196449558
2020-12-05,4300.659793814433,0.001198583753447835
2020-12-06,4300.711340206186,0.001198569387583781
2020-12-07,4300.762886597938,0.001198555022052794
2020-12-08,4300.81443298969,0.001198540656899283
2020-12-09,4300.865979381443,0.0011985262920788387
2020-12-10,4300.917525773196,0.0011985119275914613
2020-12-11,4300.969072164949,0.0011984975634593553
2020-12-12,4301.020618556701,0.0011984831996603162
2020-12-13,4301.072164948454,0.0011984688362165485
2020-12-14,4301.123711340206,0.0011984544730836433
2020-12-15,4301.1752577319585,0.0011984401103504183
2020-12-16,4301.226804123711,0.0011984257479502602
2020-12-17,4301.278350515464,0.0011984113858609646
2020-12-18,4301.329896907217,0.0011983970241491448
2020-12-19,4301.381443298969,0.001198382662770392
2020-12-20,4301.432989690722,0.001198368301724706
2020-12-21,4301.484536082474,0.001198353941012087
2020-12-22,4301.5360824742265,0.0011983395806769437
2020-12-23,4301.587628865979,0.0011983252206748674
2020-12-24,4301.639175257732,0.001198310861005858
