Date,Return on Common Equity,Return on Assets,Return on Invested Capital,EBITDA Margin,Operating Margin,Net Income Margin,EPS Diluted,Dividend per Share,Current Ratio,Quick Ratio,Return on Common Equity_roc,Return on Assets_roc,Return on Invested Capital_roc,EBITDA Margin_roc,Operating Margin_roc,Net Income Margin_roc,EPS Diluted_roc,Dividend per Share_roc,Current Ratio_roc,Quick Ratio_roc
2024-05-14 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-15 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-16 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-17 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-18 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-19 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-20 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-21 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-22 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-23 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-24 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-25 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-26 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-27 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-28 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-29 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-30 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-31 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-01 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-02 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-03 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-04 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-05 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-06 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-07 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-08 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-09 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-10 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-11 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-12 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-13 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-14 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-15 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-16 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-17 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-18 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-19 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-20 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-21 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-22 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-23 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-24 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-25 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-26 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-27 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-06-28 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,-0.016797889,-0.02677105,-0.004445212,0.103439844,0.123629723,-0.306359595,-2.830477356,0,0.039268527,0.07785073
2024-06-29 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-06-30 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-01 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-02 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-03 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-04 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-05 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-06 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-07 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-08 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-09 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-10 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-11 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-12 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-13 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-14 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-15 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-16 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-17 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-18 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-19 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-20 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-21 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-22 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-23 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-24 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-25 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-26 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-27 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-28 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-29 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-30 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-07-31 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-01 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-02 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-03 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-04 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-05 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-06 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-07 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-08 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-09 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-10 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-11 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-12 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-13 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-14 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-15 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-16 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-17 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-18 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-19 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-20 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-21 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-22 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-23 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-24 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-25 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-26 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-27 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-28 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-29 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-30 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
2024-08-31 00:00:00,41.0597,10.6662,11.534,23.4652,21.2893,19.5017,-5.0847,5.4348,1.0798,0.8044,0,0,0,0,0,0,0,0,0,0
